E,"Condor, California",CA,https://ecos.fws.gov/docs/species_images/doc4974-250px-thumbnail.jpg,3/11/67,B002
E,Cui-ui,CA,,3/11/67,E001
E,"Fox, San Joaquin kit",CA,https://ecos.fws.gov/docs/species_images/doc4959-250px-thumbnail.jpg,3/11/67,A006
E,"Lizard, blunt-nosed leopard",CA,https://ecos.fws.gov/docs/species_images/doc4888-250px-thumbnail.jpg,3/11/67,C001
E,"Pikeminnow (=squawfish), Colorado",CA,https://ecos.fws.gov/docs/species_images/doc4987-250px-thumbnail.jpg,3/11/67,E006
E,"Pupfish, Owens",CA,,3/11/67,E00A
E,"Rail, Yuma clapper",CA,https://ecos.fws.gov/docs/species_images/doc946-250px-thumbnail.jpg,3/11/67,B00P
E,"Salamander, Santa Cruz long-toed",CA,,3/11/67,D000
T,"Seal, Guadalupe fur",CA,https://ecos.fws.gov/docs/species_images/doc3633-250px-thumbnail.jpg,3/11/67,A0A8
E,"Snake, San Francisco garter",CA,,3/11/67,C002
T,"Trout, Paiute cutthroat",CA,https://ecos.fws.gov/docs/species_images/doc2486-250px-thumbnail.jpg,3/11/67,E00G
E,"Albatross, short-tailed",CA,https://ecos.fws.gov/docs/species_images/doc1680-250px-thumbnail.jpg,6/2/70,B00Y
E,"Sea turtle, leatherback",CA,https://ecos.fws.gov/docs/species_images/doc3727-250px-thumbnail.jpg,6/2/70,C00F
E,"Tern, California least",CA,https://ecos.fws.gov/docs/species_images/doc4943-250px-thumbnail.jpg,6/2/70,B03X
E,"Whale, blue",CA,,6/2/70,A02M
E,"Whale, finback",CA,,6/2/70,A02O
E,"Whale, Sei",CA,,6/2/70,A02S
E,"Whale, sperm",CA,https://ecos.fws.gov/docs/species_images/doc1497-250px-thumbnail.jpg,6/2/70,A02T
E,"Kangaroo rat, Morro Bay",CA,,10/13/70,A03X
E,"Mouse, salt marsh harvest",CA,,10/13/70,A03Y
E,"Rail, California clapper",CA,https://ecos.fws.gov/docs/species_images/doc4933-250px-thumbnail.jpg,10/13/70,B04A
E,"Rail, light-footed clapper",CA,https://ecos.fws.gov/docs/species_images/doc5713-250px-thumbnail.jpg,10/13/70,B04B
E,"Stickleback, unarmored threespine",CA,https://ecos.fws.gov/docs/species_images/doc4890-250px-thumbnail.jpg,10/13/70,E00X
T,"Trout, Lahontan cutthroat",CA,https://ecos.fws.gov/docs/species_images/doc2485-250px-thumbnail.jpg,10/13/70,E00Y
E,"Tui chub, Mohave",CA,,10/13/70,E00Q
E,"Salamander, desert slender",CA,,6/4/73,D005
E,"Butterfly, El Segundo blue",CA,https://ecos.fws.gov/docs/species_images/doc4883-250px-thumbnail.jpg,6/8/76,I00C
E,"Butterfly, Lange's metalmark",CA,https://ecos.fws.gov/docs/species_images/doc4852-250px-thumbnail.jpg,6/8/76,I00H
E,"Butterfly, lotis blue",CA,,6/8/76,I00I
E,"Butterfly, mission blue",CA,https://ecos.fws.gov/docs/species_images/doc4902-250px-thumbnail.jpg,6/8/76,I00J
E,"Butterfly, San Bruno elfin",CA,https://ecos.fws.gov/docs/species_images/doc4855-250px-thumbnail.jpg,6/8/76,I00Q
E,"Butterfly, Smith's blue",CA,,6/8/76,I00R
T,"Otter, southern sea",CA,https://ecos.fws.gov/docs/species_images/doc4965-250px-thumbnail.jpg,1/14/77,A0A7
E,"Shrike, San Clemente loggerhead",CA,,9/12/77,B05R
T,"Sparrow, San Clemente sage",CA,,9/12/77,B05S
E,"Bush-mallow, San Clemente Island",CA,,9/12/77,Q1YR
E,"Larkspur, San Clemente Island",CA,,9/12/77,Q1VC
T,"Lotus, San Clemente Island",CA,,9/12/77,Q1YO
T,"Paintbrush, San Clemente Island",CA,,9/12/77,Q1U2
E,"Wolf, gray",CA,https://ecos.fws.gov/docs/species_images/doc3630-250px-thumbnail.jpg,3/9/78,A00D
T,"Trout, Little Kern golden",CA,,5/15/78,E01Z
E,"Evening-primrose, Antioch Dunes",CA,,5/27/78,Q1ZN
T,"Grass, Eureka Dune",CA,,5/27/78,Q225
E,"Liveforever, Santa Barbara Island",CA,,5/27/78,Q1VT
E,"Wallflower, Contra Costa",CA,,5/27/78,Q1WA
T,"Sea turtle, olive ridley",CA,https://ecos.fws.gov/docs/species_images/doc978-250px-thumbnail.jpg,7/28/78,C00V
E,"Grass, Solano",CA,,9/29/78,Q23L
E,"Rock-cress, McDonald's",CA,,9/29/78,Q1SX
E,"Bird's-beak, salt marsh",CA,https://ecos.fws.gov/docs/species_images/doc5146-250px-thumbnail.jpg,10/29/78,Q1US
E,"Mesa-mint, San Diego",CA,https://ecos.fws.gov/docs/species_images/doc5150-250px-thumbnail.jpg,10/29/78,Q20P
E,"Manzanita, Presidio",CA,,11/29/79,Q1T0
T,"Moth, Kern primrose sphinx",CA,,4/8/80,I01C
E,"Chub, bonytail",CA,https://ecos.fws.gov/docs/species_images/doc4893-250px-thumbnail.jpg,4/23/80,E020
T,"Butterfly, Oregon silverspot",CA,https://ecos.fws.gov/docs/species_images/doc4946-250px-thumbnail.jpg,7/2/80,I01A
E,"Butterfly, Palos Verdes blue",CA,https://ecos.fws.gov/docs/species_images/doc4895-250px-thumbnail.jpg,7/2/80,I01B
T,"Beetle, delta green ground",CA,https://ecos.fws.gov/docs/species_images/doc1739-250px-thumbnail.jpg,8/8/80,I01G
T,"Beetle, valley elderberry longhorn",CA,https://ecos.fws.gov/docs/species_images/doc4870-250px-thumbnail.jpg,8/8/80,I01L
T,"Tortoise, desert",CA,https://ecos.fws.gov/docs/species_images/doc3729-250px-thumbnail.jpg,8/20/80,C04L
T,"Lizard, Coachella Valley fringe-toed",CA,https://ecos.fws.gov/docs/species_images/doc4953-250px-thumbnail.jpg,9/25/80,C02I
E,"Checker-mallow, pedate",CA,https://ecos.fws.gov/docs/species_images/doc5710-250px-thumbnail.jpg,8/31/84,Q2IS
E,"Mustard, slender-petaled",CA,,8/31/84,Q2KB
E,"Vole, Amargosa",CA,,11/15/84,A082
E,"Kangaroo rat, Fresno",CA,,1/30/85,A08O
T,"Evening-primrose, San Benito",CA,,2/12/85,Q26O
E,"Fiddleneck, large-flowered",CA,,5/8/85,Q1SU
E,"Niterwort, Amargosa",CA,,5/20/85,Q2E8
T,"Sunray, Ash Meadows",CA,,5/20/85,Q297
E,"Thistle, Loch Lomond coyote",CA,,8/1/85,Q29S
E,"Chub, Owens Tui",CA,,8/5/85,E02W
E,"Thornmint, San Mateo",CA,,9/18/85,Q24H
T,"Sucker, Warner",CA,,9/27/85,E057
E,"Pupfish, desert",CA,https://ecos.fws.gov/docs/species_images/doc4867-250px-thumbnail.jpg,3/31/86,E044
E,"Vireo, least Bell's",CA,https://ecos.fws.gov/docs/species_images/doc4958-250px-thumbnail.jpg,5/2/86,B067
E,"Bird's beak, palmate-bracted",CA,,7/1/86,Q1UT
E,"Kangaroo rat, giant",CA,,1/5/87,A08P
T,"Cypress, Santa Cruz",CA,,1/8/87,R005
T,"Towhee, Inyo California",CA,,8/3/87,B07Q
T,"Butterfly, bay checkerspot",CA,https://ecos.fws.gov/docs/species_images/doc4884-250px-thumbnail.jpg,9/18/87,I021
E,"Spineflower, slender-horned",CA,,9/28/87,Q2T6
E,"Woolly-star, Santa Ana River",CA,,9/28/87,Q29A
E,"Kangaroo rat, Tipton",CA,,7/8/88,A08S
E,"Sucker, Lost River",CA,https://ecos.fws.gov/docs/species_images/doc2514-250px-thumbnail.jpg,7/18/88,E052
E,"Sucker, shortnose",CA,https://ecos.fws.gov/docs/species_images/doc2513-250px-thumbnail.jpg,7/18/88,E055
E,"Crayfish, Shasta",CA,,9/30/88,K01U
E,"Kangaroo rat, Stephens'",CA,https://ecos.fws.gov/docs/species_images/doc5385-250px-thumbnail.jpg,9/30/88,A08Q
T,"Salmon, Chinook",CA,https://ecos.fws.gov/docs/species_images/doc4916-250px-thumbnail.jpg,4/6/90,E06D
E,"Cactus, Bakersfield",CA,,7/19/90,Q2YG
E,"Jewelflower, California",CA,,7/19/90,Q2Y8
E,"Mallow, Kern",CA,,7/19/90,Q2TD
E,"Wooly-threads, San Joaquin",CA,,7/19/90,Q34W
E,"Sucker, razorback",CA,https://ecos.fws.gov/docs/species_images/doc4960-250px-thumbnail.jpg,10/23/91,E054
E,"Goldfields, Burke's",CA,,12/2/91,Q1XU
E,"Meadowfoam, Sebastopol",CA,,12/2/91,Q1Y1
E,"Sunshine, Sonoma",CA,,12/2/91,Q1TO
E,"Meadowfoam, Butte County",CA,,6/8/92,Q2YE
E,"Butterfly, Myrtle's silverspot",CA,https://ecos.fws.gov/docs/species_images/doc4949-250px-thumbnail.jpg,6/22/92,I00N
E,"Gilia, Monterey",CA,,6/22/92,Q2AJ
E,"Layia, beach",CA,,6/22/92,Q34T
E,"Lupine, clover",CA,,6/22/92,Q2DD
E,"Spineflower, Howell's",CA,,6/22/92,Q270
E,"Spineflower, Sonoma",CA,,6/22/92,Q1UF
E,"Wallflower, Menzies'",CA,,6/22/92,Q29W
T,"Murrelet, marbled",CA,https://ecos.fws.gov/docs/species_images/doc2510-250px-thumbnail.jpg,10/1/92,B08C
T,"Plover, western snowy",CA,https://ecos.fws.gov/docs/species_images/doc3688-250px-thumbnail.jpg,3/5/93,B07C
T,"Smelt, delta",CA,https://ecos.fws.gov/docs/species_images/doc4900-250px-thumbnail.jpg,3/5/93,E070
T,"Gnatcatcher, coastal California",CA,,3/30/93,B08X
E,"Milk-vetch, Applegate's",CA,https://ecos.fws.gov/docs/species_images/doc2511-250px-thumbnail.jpg,7/28/93,Q25T
E,"Fairy shrimp, Riverside",CA,,8/3/93,K03F
E,"Button-celery, San Diego",CA,https://ecos.fws.gov/docs/species_images/doc5152-250px-thumbnail.jpg,8/3/93,Q1W9
E,"Mesa-mint, Otay",CA,https://ecos.fws.gov/docs/species_images/doc5151-250px-thumbnail.jpg,8/3/93,Q2GS
E,"Orcutt grass, California",CA,,8/3/93,Q1ZO
E,"Sandwort, Marsh",CA,,8/3/93,Q25H
E,"Watercress, Gambel's",CA,,8/3/93,Q38L
E,"Fly, Delhi Sands flower-loving",CA,https://ecos.fws.gov/docs/species_images/doc4934-250px-thumbnail.jpg,9/23/93,I0MG
T,"Snake, giant garter",CA,https://ecos.fws.gov/docs/species_images/doc3735-250px-thumbnail.jpg,10/20/93,C057
E,"Mouse, Pacific pocket",CA,,2/3/94,A0BY
E,"Goby, tidewater",CA,,2/4/94,E071
E,"Spineflower, Ben Lomond",CA,,2/4/94,Q30Y
T,"Spineflower, Monterey",CA,,2/4/94,Q271
E,"spineflower, Robust",CA,,2/4/94,Q3O7
E,"spineflower, Scotts Valley",CA,,2/4/94,Q3IB
E,"Wallflower, Ben Lomond",CA,,2/4/94,Q29X
T,"Howellia, water",CA,,7/14/94,Q2RM
E,"Lily, Western",CA,,8/17/94,Q1Y0
E,"Bladderpod, San Bernardino Mountains",CA,,8/24/94,Q2CD
E,"Buckwheat, cushenbury",CA,,8/24/94,Q1W8
T,"Daisy, Parish's",CA,,8/24/94,Q29D
E,"Milk-vetch, Cushenbury",CA,,8/24/94,Q2Z7
E,"oxytheca, Cushenbury",CA,,8/24/94,Q36L
E,"Fairy shrimp, Conservancy",CA,,9/19/94,K03D
E,"Fairy shrimp, longhorn",CA,,9/19/94,K03E
T,"Fairy shrimp, vernal pool",CA,,9/19/94,K03G
E,"Tadpole shrimp, vernal pool",CA,,9/19/94,K048
E,"Snail, Morro shoulderband (=Banded dune)",CA,,12/15/94,G00D
E,"Clarkia, Pismo",CA,,12/15/94,Q1UJ
T,"Manzanita, Morro",CA,https://ecos.fws.gov/docs/species_images/doc2499-250px-thumbnail.jpg,12/15/94,Q259
E,"mountainbalm, Indian Knob",CA,https://ecos.fws.gov/docs/species_images/doc2502-250px-thumbnail.jpg,12/15/94,Q1W5
E,"Seablite, California",CA,https://ecos.fws.gov/docs/species_images/doc2500-250px-thumbnail.jpg,12/15/94,Q3AF
E,"Thistle, Chorro Creek bog",CA,,12/15/94,Q1UG
E,"Toad, arroyo (=arroyo southwestern)",CA,https://ecos.fws.gov/docs/species_images/doc4849-250px-thumbnail.jpg,12/16/94,D020
E,"Bird's-beak, Pennell's",CA,,2/3/95,Q2O8
E,"Ceanothus, coyote",CA,,2/3/95,Q1U3
E,"Clarkia, Presidio",CA,,2/3/95,Q1UI
E,"Dudleya, Santa Clara Valley",CA,,2/3/95,Q32V
T,"Dwarf-flax, Marin",CA,,2/3/95,Q1X6
E,"Jewelflower, Metcalf Canyon",CA,,2/3/95,Q222
E,"Jewelflower, Tiburon",CA,,2/3/95,Q223
T,"Mariposa lily, Tiburon",CA,,2/3/95,Q1TU
E,"Paintbrush, Tiburon",CA,,2/3/95,Q26R
E,"Pentachaeta, white-rayed",CA,,2/3/95,Q2F3
E,"Sunflower, San Mateo woolly",CA,,2/3/95,Q2TK
E,"Thistle, fountain",CA,,2/3/95,Q1UH
E,"Flycatcher, southwestern willow",CA,https://ecos.fws.gov/docs/species_images/doc5116-250px-thumbnail.jpg,2/27/95,B094
T,"Frog, California red-legged",CA,https://ecos.fws.gov/docs/species_images/doc1755-250px-thumbnail.jpg,5/23/96,D02D
T,"Baccharis, Encinitas",CA,,10/7/96,Q264
T,"Crownbeard, big-leaved",CA,,10/7/96,Q3GB
E,"Manzanita, Del Mar",CA,,10/7/96,Q036
E,"Spineflower, Orcutt's",CA,,10/7/96,Q0EY
E,"Bedstraw, El Dorado",CA,,10/18/96,Q0VG
T,"Butterweed, Layne's",CA,,10/18/96,Q1O2
E,"Ceanothus, Pine Hill",CA,,10/18/96,Q0DK
E,"Flannelbush, Pine Hill",CA,,10/18/96,Q0V1
E,"Morning-glory, Stebbins'",CA,,10/18/96,Q0AU
E,"Salmon, coho",CA,https://ecos.fws.gov/docs/species_images/doc4983-250px-thumbnail.jpg,11/20/96,E08A
T,"Salmon, coho",CA,https://ecos.fws.gov/docs/species_images/doc4983-250px-thumbnail.jpg,11/20/96,E08A
E,"Butterfly, Quino checkerspot",CA,https://ecos.fws.gov/docs/species_images/doc4885-250px-thumbnail.jpg,1/16/97,I00P
E,"Beetle, Mount Hermon June",CA,,1/24/97,I0OV
E,"Grasshopper, Zayante band-winged",CA,,1/24/97,I0OY
T,"Dudleya, Conejo",CA,,1/29/97,Q0O7
T,"Dudleya, marcescent",CA,,1/29/97,Q0OC
T,"Dudleya, Santa Monica Mountains",CA,https://ecos.fws.gov/docs/species_images/doc5119-250px-thumbnail.jpg,1/29/97,Q3AK
T,"Dudleya, Verity's",CA,,1/29/97,Q2OM
E,"Milk-vetch, Braunton's",CA,,1/29/97,Q05E
E,"Pentachaeta, Lyon's",CA,https://ecos.fws.gov/docs/species_images/doc5073-250px-thumbnail.jpg,1/29/97,Q1EA
E,"Fairy shrimp, San Diego",CA,https://ecos.fws.gov/docs/species_images/doc5118-250px-thumbnail.jpg,2/3/97,K049
E,"Sunburst, Hartweg's golden",CA,,2/6/97,Q1K2
T,"Sunburst, San Joaquin adobe",CA,,2/6/97,Q1K3
T,"Grass, Colusa",CA,,3/26/97,Q19I
E,"Orcutt grass, hairy",CA,,3/26/97,Q1AY
E,"Orcutt grass, Sacramento",CA,,3/26/97,Q1ZQ
T,"Orcutt grass, San Joaquin",CA,,3/26/97,Q1ZP
T,"Orcutt grass, slender",CA,,3/26/97,Q1AZ
T,"Owl's-clover, fleshy",CA,,3/26/97,Q0CG
T,"Spurge, Hoover's",CA,,3/26/97,Q0E9
E,"Tuctoria, Greene's",CA,,3/26/97,Q23K
E,"Goldfields, Contra Costa",CA,,6/18/97,Q122
E,"Navarretia, few-flowered",CA,,6/18/97,Q19A
E,"Navarretia, many-flowered",CA,,6/18/97,Q19B
E,"Stonecrop, Lake County",CA,,6/18/97,Q1C2
E,"Lessingia, San Francisco",CA,,6/19/97,Q3AI
E,"Barberry, island",CA,,7/31/97,Q08H
E,"Bedstraw, island",CA,,7/31/97,Q0VF
E,"Bush-mallow, Santa Cruz Island",CA,,7/31/97,Q16R
T,"Dudleya, Santa Cruz Island",CA,,7/31/97,Q0OF
E,"Fringepod, Santa Cruz Island",CA,,7/31/97,Q2KH
E,"Gilia, Hoffmann's slender-flowered",CA,,7/31/97,Q0WC
E,"Malacothrix, island",CA,,7/31/97,Q3EK
E,"Malacothrix, Santa Cruz Island",CA,,7/31/97,Q35Q
E,"Manzanita, Santa Rosa Island",CA,,7/31/97,Q037
E,"Paintbrush, soft-leaved",CA,,7/31/97,Q0D1
E,"Phacelia, island",CA,,7/31/97,Q1FV
E,"Rock-cress, Hoffmann's",CA,,7/31/97,Q02U
T,"Rush-rose, island",CA,,7/31/97,Q0YA
E,"Mountain-mahogany, Catalina Island",CA,,8/8/97,Q0DQ
E,"Rockcress, Santa Cruz Island",CA,,8/8/97,Q1OF
E,"Woodland-star, San Clemente Island",CA,,8/8/97,Q14U
E,"Allocarya, Calistoga",CA,,10/22/97,Q1HV
E,"Alopecurus, Sonoma",CA,,10/22/97,Q01F
E,"Bluegrass, Napa",CA,,10/22/97,Q1ID
E,"Checker-mallow, Kenwood Marsh",CA,,10/22/97,Q1OU
E,"Clarkia, Vine Hill",CA,,10/22/97,Q0FO
E,"Clover, showy Indian",CA,https://ecos.fws.gov/docs/species_images/doc5090-250px-thumbnail.jpg,10/22/97,Q238
E,"Lily, Pitkin Marsh",CA,,10/22/97,Q141
E,"Milk-vetch, Clara Hunt's",CA,,10/22/97,Q05J
E,"Sedge, white",CA,,10/22/97,Q0BL
E,"Bird's-beak, soft",CA,,11/20/97,Q0GT
E,"Thistle, Suisun",CA,,11/20/97,Q0FC
E,"Butterfly, Behren's silverspot",CA,,12/5/97,I031
E,"Butterfly, callippe silverspot",CA,https://ecos.fws.gov/docs/species_images/doc4945-250px-thumbnail.jpg,12/5/97,I019
T,"Whipsnake (=striped racer), Alameda",CA,,12/5/97,C04A
E,"Kangaroo rat, San Bernardino Merriam's",CA,https://ecos.fws.gov/docs/species_images/doc1593-250px-thumbnail.jpg,1/27/98,A0G8
E,"Sheep, Peninsular bighorn",CA,https://ecos.fws.gov/docs/species_images/doc4921-250px-thumbnail.jpg,3/18/98,A0DR
T,"Manzanita, pallid",CA,,4/22/98,Q03I
T,Steelhead,CA,https://ecos.fws.gov/docs/species_images/doc4984-250px-thumbnail.jpg,6/17/98,E08D
E,Steelhead,CA,https://ecos.fws.gov/docs/species_images/doc4984-250px-thumbnail.jpg,6/17/98,E08D
E,"Clover, Monterey",CA,,8/12/98,Q23C
T,"Cypress, Gowen",CA,,8/12/98,R00A
E,"Milk-vetch, coastal dunes",CA,,8/12/98,Q07J
E,"Piperia, Yadon's",CA,,8/12/98,Q3FA
E,"Potentilla, Hickman's",CA,,8/12/98,Q1J8
E,"Milk-vetch, Coachella Valley",CA,,10/6/98,Q25Y
T,"Milk-vetch, Fish Slough",CA,,10/6/98,Q25Z
E,"Milk-vetch, Lane Mountain",CA,,10/6/98,Q064
T,"Milk-vetch, Peirson's",CA,https://ecos.fws.gov/docs/species_images/doc5711-250px-thumbnail.jpg,10/6/98,Q2ND
E,"Milk-vetch, triple-ribbed",CA,,10/6/98,Q2ZO
E,"Barberry, Nevin's",CA,,10/13/98,Q08G
T,"Brodiaea, thread-leaved",CA,https://ecos.fws.gov/docs/species_images/doc5047-250px-thumbnail.jpg,10/13/98,Q09H
T,"Ceanothus, Vail Lake",CA,,10/13/98,Q3AH
E,"Crownscale, San Jacinto Valley",CA,,10/13/98,Q2ZR
E,"Flannelbush, Mexican",CA,,10/13/98,Q2OZ
T,"Liveforever, Laguna Beach",CA,https://ecos.fws.gov/docs/species_images/doc5147-250px-thumbnail.jpg,10/13/98,Q0OH
E,"Monardella, willowy",CA,https://ecos.fws.gov/docs/species_images/doc5148-250px-thumbnail.jpg,10/13/98,Q18M
T,"Navarretia, spreading",CA,https://ecos.fws.gov/docs/species_images/doc5068-250px-thumbnail.jpg,10/13/98,Q2E7
E,"Onion, Munz's",CA,,10/13/98,Q2X0
T,"Tarplant, Otay",CA,,10/13/98,Q0YQ
T,"Thornmint, San Diego",CA,https://ecos.fws.gov/docs/species_images/doc5153-250px-thumbnail.jpg,10/13/98,Q00E
E,"Bluegrass, San Bernardino",CA,,10/14/98,Q1I9
T,"Brodiaea, Chinese Camp",CA,,10/14/98,Q09J
T,"Clarkia, Springville",CA,,10/14/98,Q2O6
T,"Paintbrush, ash-grey",CA,,10/14/98,Q0CL
T,"Pussypaws, Mariposa",CA,,10/14/98,Q0AS
T,"Sandwort, Bear Valley",CA,,10/14/98,Q03Z
E,"Taraxacum, California",CA,,10/14/98,Q1SB
T,"Vervain, Red Hills",CA,,10/14/98,Q2LO
T,"Wild-buckwheat, southern mountain",CA,https://ecos.fws.gov/docs/species_images/doc5709-250px-thumbnail.jpg,10/14/98,Q0S7
E,"Sheep, Sierra Nevada bighorn",CA,https://ecos.fws.gov/docs/species_images/doc4922-250px-thumbnail.jpg,4/20/99,A0DS
E,"Buckwheat, Ione",CA,,5/26/99,Q0QW
T,"Manzanita, Ione",CA,,5/26/99,Q03G
E,"Fritillary, Gentner's",CA,https://ecos.fws.gov/docs/species_images/doc3990-250px-thumbnail.jpg,12/10/99,Q0V6
E,"Larkspur, Baker's",CA,,1/26/00,Q0LZ
E,"Larkspur, yellow",CA,,1/26/00,Q0M2
E,"Phlox, Yreka",CA,,2/3/00,Q1GG
E,"Penny-cress, Kneeland Prairie",CA,,2/9/00,Q2KF
E,"Checker-mallow, Keck's",CA,,2/16/00,Q1OS
E,"Rabbit, riparian brush",CA,https://ecos.fws.gov/docs/species_images/doc4950-250px-thumbnail.jpg,2/23/00,A0DN
E,"Woodrat, riparian (=San Joaquin Valley)",CA,https://ecos.fws.gov/docs/species_images/doc4912-250px-thumbnail.jpg,2/23/00,A0FC
T,"amole, purple",CA,,3/20/00,Q0ET
E,"Lupine, Nipomo Mesa",CA,,3/20/00,Q161
E,"Tarplant, Gaviota",CA,,3/20/00,Q340
T,"Tarplant, Santa Cruz",CA,,3/20/00,Q0ZL
E,"Thistle, La Graciosa",CA,,3/20/00,Q0FE
E,"Yerba santa, Lompoc",CA,,3/20/00,Q0QR
T,"Sucker, Santa Ana",CA,https://ecos.fws.gov/docs/species_images/doc4856-250px-thumbnail.jpg,4/12/00,E07W
E,"Milk-vetch, Ventura Marsh",CA,,5/21/01,Q076
E,"Tiger beetle, Ohlone",CA,,10/3/01,I0OW
E,"Skipper, Carson wandering",CA,,11/29/01,I0RG
E,"Shrew, Buena Vista Lake ornate",CA,https://ecos.fws.gov/docs/species_images/doc4942-250px-thumbnail.jpg,3/6/02,A0DV
E,"Frog, mountain yellow-legged",CA,https://ecos.fws.gov/docs/species_images/doc1758-250px-thumbnail.jpg,7/2/02,D02H
E,"Ambrosia, San Diego",CA,https://ecos.fws.gov/docs/species_images/doc5145-250px-thumbnail.jpg,7/2/02,Q01H
E,"Salamander, California tiger",CA,https://ecos.fws.gov/docs/species_images/doc3980-250px-thumbnail.jpg,7/22/02,D01T
T,"Salamander, California tiger",CA,https://ecos.fws.gov/docs/species_images/doc3980-250px-thumbnail.jpg,7/22/02,D01T
E,"Polygonum, Scotts Valley",CA,,4/8/03,Q3HV
T,"Fox, Santa Catalina Island",CA,,3/5/04,A08K
E,"Abalone, White",CA,,11/16/05,G0C8
T,"sturgeon, green",CA,https://ecos.fws.gov/docs/species_images/doc4843-250px-thumbnail.jpg,6/6/06,E09K
E,"Beetle, Casey's June",CA,https://ecos.fws.gov/docs/species_images/doc5144-250px-thumbnail.jpg,10/24/11,I0TG
E,"Manzanita, Franciscan",CA,,10/5/12,Q25C
E,"Frog, mountain yellow-legged",CA,https://ecos.fws.gov/docs/species_images/doc1758-250px-thumbnail.jpg,6/30/14,D02H
E,"Frog, Sierra Nevada Yellow-legged",CA,,6/30/14,D04M
T,"toad, Yosemite",CA,,6/30/14,D02K
T,"ivesia, Webber's",CA,,7/3/14,Q34J
E,"Monkeyflower, Vandenberg",CA,,9/25/14,Q3NC
T,"Frog, Oregon spotted",CA,https://ecos.fws.gov/docs/species_images/doc1760-250px-thumbnail.jpg,9/29/14,D02A
T,"Cuckoo, yellow-billed",CA,https://ecos.fws.gov/docs/species_images/doc4623-250px-thumbnail.jpg,11/3/14,B06R